epoch,train_loss,valid_loss,accuracy,time
-1,3.328326,3.122928,0.314351,19:42
0,1.928001,1.996182,0.520855,28:57
1,1.850428,1.950834,0.529625,29:05
2,1.874266,1.978287,0.523630,29:13
3,1.936947,2.023138,0.516128,29:06
4,1.962458,2.054753,0.510439,28:56
5,1.975345,2.080720,0.505472,28:47
6,1.999894,2.081296,0.505816,28:37
7,1.983418,2.079545,0.506184,28:32
8,1.963275,2.058214,0.510210,28:34
9,1.936085,2.029901,0.515913,28:35
10,1.917196,2.014891,0.518762,28:37
11,1.887311,1.989071,0.523959,28:36
12,1.866707,1.965362,0.527716,28:33
13,1.846387,1.945072,0.531434,28:33
14,1.810108,1.921329,0.536012,28:35
15,1.802546,1.901778,0.539982,28:15
16,1.775946,1.882680,0.543361,28:15
17,1.759848,1.859895,0.547940,28:19
18,1.738717,1.840156,0.551875,28:20
19,1.726963,1.819566,0.555633,28:22
20,1.695719,1.799364,0.559859,28:24
21,1.670356,1.780053,0.563531,28:26
22,1.661808,1.761775,0.567222,28:29
23,1.633117,1.747741,0.570612,28:30
24,1.610914,1.734928,0.573587,28:32
25,1.597136,1.721189,0.576243,28:34
26,1.580360,1.712532,0.578177,28:33
27,1.564023,1.705756,0.579727,28:33
28,1.567405,1.703645,0.580342,28:33
29,1.561393,1.703536,0.580373,28:34
