epoch,train_loss,valid_loss,accuracy,time
-1,2.194255,2.017406,0.449953,24:27
0,0.963516,0.924853,0.730255,34:41
1,0.907281,0.890260,0.739244,34:40
2,0.931071,0.908255,0.734802,34:41
3,0.951778,0.927017,0.730146,34:36
4,0.971262,0.941669,0.726628,34:16
5,0.997196,0.972038,0.718408,34:02
6,1.020785,0.987118,0.714459,33:54
7,1.038034,1.008346,0.708996,33:50
8,1.016577,0.992760,0.712280,33:44
9,1.007768,0.981218,0.715330,33:49
10,1.003460,0.972826,0.717544,33:48
11,0.982750,0.956286,0.721644,33:47
12,0.976231,0.944844,0.724843,33:51
13,0.965475,0.930722,0.728444,33:50
14,0.946899,0.926774,0.729667,33:52
15,0.949636,0.905467,0.735249,33:50
16,0.929585,0.890819,0.739085,33:55
17,0.894766,0.869783,0.745005,33:54
18,0.893020,0.855253,0.748412,33:55
19,0.861201,0.837612,0.753446,33:59
20,0.848320,0.823221,0.757242,34:00
21,0.845411,0.808570,0.761201,34:06
22,0.825595,0.794962,0.764808,34:07
23,0.804688,0.780401,0.768921,34:16
24,0.796163,0.768816,0.772142,34:22
25,0.777865,0.758650,0.775036,34:24
26,0.783565,0.751183,0.777199,34:31
27,0.765283,0.745595,0.778791,34:33
28,0.760372,0.743161,0.779512,34:34
29,0.757956,0.742808,0.779633,34:34
