epoch,train_loss,valid_loss,accuracy,time
-1,3.293419,3.128795,0.323507,19:57
0,1.919357,2.005627,0.521201,29:02
1,1.816470,1.948524,0.530950,29:05
2,1.837683,1.980030,0.525545,29:06
3,1.890795,2.026043,0.517280,29:10
4,1.918389,2.055678,0.513233,29:06
5,1.931627,2.073259,0.510880,29:01
6,1.935717,2.096344,0.507261,28:50
7,1.930167,2.066913,0.511508,28:42
8,1.895413,2.056256,0.513242,28:43
9,1.878500,2.040625,0.516288,28:43
10,1.859175,2.002285,0.522953,28:43
11,1.831441,1.989173,0.525667,28:42
12,1.819952,1.965803,0.529822,28:39
13,4.796818,4.758738,0.137723,28:42
14,4.107823,3.947852,0.235291,28:51
15,3.805456,3.637971,0.277645,29:07
16,2.913395,2.830144,0.389181,29:14
17,2.353532,2.381209,0.458427,29:14
18,2.140337,2.209684,0.486968,29:14
19,1.997409,2.092461,0.506409,29:10
20,1.894852,2.011161,0.521376,29:06
21,1.831568,1.956332,0.531158,29:05
22,1.787150,1.922507,0.537290,29:05
23,1.757831,1.895064,0.543074,29:05
24,1.732729,1.870059,0.548095,29:09
25,1.699580,1.852031,0.551645,29:09
26,1.678192,1.838316,0.554403,29:13
27,1.657896,1.830397,0.556224,29:11
28,1.648280,1.826895,0.557051,29:13
29,1.639875,1.826841,0.557226,29:07
