epoch,train_loss,valid_loss,accuracy,time
-1,2.939120,2.809371,0.449117,03:50
0,3.175289,2.986178,0.436709,05:37
1,2.810483,2.717596,0.459933,05:37
2,2.627679,2.650343,0.462896,05:37
3,2.480752,2.473624,0.482531,05:38
4,2.452791,2.481973,0.480046,05:38
5,2.455511,2.479025,0.477426,05:38
6,2.579818,2.557277,0.470739,05:35
7,2.542310,2.522521,0.475464,05:35
8,2.521100,2.503774,0.476018,05:35
9,2.478536,2.685338,0.454895,05:36
10,2.480320,2.511261,0.474925,05:37
11,2.437613,2.453465,0.479457,05:36
12,2.447965,2.453542,0.481090,05:36
13,2.487686,2.473096,0.478950,05:35
14,2.497864,2.471448,0.480407,05:34
15,2.475588,2.471124,0.480211,05:34
16,2.434252,2.443528,0.482500,05:35
17,2.417950,2.434123,0.483782,05:36
18,2.404525,2.419099,0.485862,05:37
19,2.391361,2.411762,0.487159,05:38
20,2.386088,2.400015,0.487747,05:37
21,2.369259,2.395041,0.488580,05:39
22,2.360856,2.382493,0.490105,05:37
23,2.346475,2.374461,0.491169,05:39
24,2.333828,2.362596,0.492608,05:38
25,2.328074,2.355348,0.493355,05:39
26,2.317755,2.348074,0.494148,05:39
27,2.310944,2.343984,0.494616,05:39
28,2.306744,2.342040,0.494795,05:39
29,2.308937,2.341698,0.494893,05:39
