epoch,train_loss,valid_loss,accuracy,time
-1,2.313623,2.274559,0.466948,14:06
0,2.235642,2.236116,0.473631,14:05
1,2.201284,2.200581,0.479848,14:06
2,2.164176,2.165401,0.485882,14:07
3,2.107311,2.142087,0.489293,14:04
4,2.091507,2.123351,0.492573,14:08
5,2.059410,2.115614,0.494441,14:08
6,2.064614,2.105683,0.495898,14:09
7,2.056330,2.094508,0.497739,14:08
8,2.037406,2.085899,0.500150,14:08
9,2.023416,2.067459,0.503487,14:09
10,2.013000,2.055308,0.505818,14:07
11,1.993054,2.044724,0.508208,14:09
12,1.987254,2.032848,0.510278,14:06
13,1.975693,2.019651,0.513088,14:08
14,1.950077,2.011401,0.514606,14:08
15,1.950882,2.000888,0.516842,14:07
16,1.943916,1.986831,0.519572,14:07
17,1.930050,1.979969,0.520457,14:07
18,1.916421,1.968538,0.522948,14:12
19,1.902731,1.954208,0.525947,14:09
20,1.901195,1.945354,0.527895,14:07
21,1.882511,1.935786,0.530061,14:09
22,1.872130,1.925692,0.532001,14:08
23,1.874691,1.917304,0.533917,14:08
24,1.849493,1.909827,0.535317,14:10
25,1.850025,1.905390,0.536279,14:08
26,1.853894,1.900648,0.537327,14:09
27,1.828451,1.898079,0.537941,14:07
28,1.823186,1.896513,0.538259,14:11
29,1.824709,1.896698,0.538290,14:08
