epoch,train_loss,valid_loss,accuracy,time
-1,1.189574,1.125358,0.676380,16:51
0,1.151147,1.102049,0.682327,16:51
1,1.130703,1.081964,0.687740,16:54
2,1.100638,1.062925,0.692591,16:54
3,1.103287,1.052960,0.694990,16:55
4,1.093114,1.046041,0.696836,16:56
5,1.101329,1.046921,0.696637,16:56
6,1.077110,1.038959,0.698781,16:56
7,1.081393,1.035319,0.699457,16:55
8,1.065002,1.026273,0.701604,16:54
9,1.062649,1.018463,0.703680,16:55
10,1.058527,1.010458,0.705735,16:54
11,1.056541,1.001014,0.708003,16:54
12,1.047665,0.991937,0.710367,16:53
13,1.037469,0.984327,0.712547,16:54
14,1.035191,0.977572,0.714402,16:53
15,1.018285,0.968500,0.716792,16:54
16,1.012076,0.962521,0.718509,16:55
17,1.019915,0.951420,0.721375,16:54
18,1.009453,0.945773,0.723055,16:55
19,0.995544,0.936259,0.725676,16:55
20,0.990530,0.929118,0.727632,16:56
21,0.979829,0.924015,0.728943,16:56
22,0.971623,0.915769,0.731356,16:56
23,0.971415,0.910812,0.732684,16:57
24,0.961487,0.906349,0.733905,16:57
25,0.953171,0.902587,0.735053,16:56
26,0.949683,0.900091,0.735756,16:56
27,0.944715,0.898559,0.736145,16:57
28,0.948307,0.897923,0.736317,16:57
29,0.944526,0.897850,0.736358,16:57
