epoch,train_loss,valid_loss,accuracy,time
-1,2.270355,2.278681,0.475198,13:58
0,2.214699,2.237679,0.481865,14:00
1,2.163913,2.198416,0.487911,13:59
2,2.098856,2.160469,0.493419,13:59
3,2.058215,2.134384,0.497109,14:01
4,2.036539,2.114402,0.499685,14:00
5,2.028574,2.108875,0.500313,14:01
6,2.008492,2.095479,0.501855,14:00
7,2.001233,2.092030,0.502543,14:01
8,1.997252,2.078012,0.504857,14:01
9,1.983610,2.065966,0.506488,14:02
10,1.974481,2.052381,0.508916,14:02
11,1.955212,2.042827,0.510937,14:01
12,1.947583,2.035185,0.512474,14:01
13,1.944580,2.019596,0.515168,14:01
14,1.935703,2.009516,0.517249,14:02
15,1.919773,1.997247,0.519366,14:02
16,1.898457,1.988149,0.521350,14:03
17,1.901153,1.976274,0.523726,14:02
18,1.884219,1.964472,0.525677,14:02
19,1.878264,1.954334,0.528080,13:58
20,1.851182,1.944046,0.529854,13:52
21,1.847393,1.933007,0.531930,13:52
22,1.841264,1.925086,0.533896,13:52
23,1.821394,1.914587,0.535515,13:52
24,1.819339,1.908863,0.536943,13:52
25,1.809696,1.902674,0.538198,13:52
26,1.811851,1.898466,0.539038,13:52
27,1.798095,1.895772,0.539604,13:52
28,1.799042,1.894883,0.539941,13:52
29,1.790150,1.894901,0.539951,13:53
