epoch,train_loss,valid_loss,perplexity,accuracy,time
-1,0.016708,0.005406,1.005420,0.999065,1:23:56
0,0.012979,0.005226,1.005240,0.999091,1:24:08
1,0.013667,0.005298,1.005312,0.999102,1:24:17
2,0.014761,0.005193,1.005206,0.999108,1:24:21
3,0.014986,0.005010,1.005023,0.999125,1:24:31
4,0.017401,0.004751,1.004762,0.999166,1:24:47
5,0.016076,0.004615,1.004626,0.999179,1:24:51
6,0.014559,0.004412,1.004422,0.999205,1:24:45
7,0.010650,0.004264,1.004274,0.999221,1:24:52
8,0.014061,0.004177,1.004186,0.999235,1:24:46
9,0.014755,0.004155,1.004164,0.999238,1:24:47
