epoch,train_loss,valid_loss,perplexity,accuracy,time
-1,1.463899,1.402743,4.066340,0.722965,3:28:45
0,1.474935,1.387162,4.003471,0.725250,3:29:45
1,1.445614,1.346338,3.843327,0.731403,3:30:46
2,1.403791,1.317798,3.735186,0.735842,3:30:50
3,1.314907,1.298929,3.665368,0.738622,3:31:25
4,1.282093,1.285895,3.617904,0.740896,3:31:11
5,1.195681,1.278974,3.592950,0.742029,3:31:17
6,1.112404,1.273516,3.573396,0.743075,3:31:36
7,1.230429,1.269817,3.560201,0.743438,3:31:22
8,1.345940,1.268315,3.554858,0.743686,3:31:09
9,1.407818,1.268246,3.554613,0.743738,3:31:04
