epoch,train_loss,valid_loss,perplexity,accuracy,time
-1,0.016402,0.003944,1.003952,0.999346,3:09:52
0,0.018979,0.003823,1.003831,0.999359,3:10:39
1,0.011861,0.003552,1.003558,0.999390,3:11:20
2,0.013500,0.003378,1.003384,0.999406,3:11:51
3,0.014181,0.003216,1.003221,0.999431,3:11:44
4,0.014843,0.003123,1.003128,0.999436,3:12:28
5,0.009306,0.003086,1.003091,0.999446,3:13:13
6,0.011828,0.003004,1.003009,0.999457,3:12:07
7,0.010157,0.002951,1.002956,0.999461,3:11:38
8,0.014581,0.002925,1.002929,0.999467,3:11:12
9,0.010569,0.002920,1.002925,0.999468,3:11:12
